,Country name,2019 year,2019 Life Ladder,2019 Log GDP per capita,2019 Social support,2019 Healthy life expectancy at birth,2019 Freedom to make life choices,2019 Generosity,2019 Perceptions of corruption,2019 Positive affect,2019 Negative affect,Population 2020,Population 2019,"COVID-19 deaths per 100,000 population in 2020",Median age,Island,Index of exposure to COVID-19  infections in other countries as of March 31,Log of average distance to SARS countries,WHO Western Pacific Region,Female head of government,Index of institutional trust,Gini coefficient of income,"All-cause death count, 2017","All-cause death count, 2018","All-cause death count, 2019","All-cause death count, 2020","Excess deaths in 2020 per 100,000 population, relative to 2017-2019 average"
88,Myanmar,2019,4.434,8.545,0.763,59.3,0.899,0.561,0.682,0.755,0.28600000000000003,54409794.0,54045420.0,4.928999999999999,29.1,0.0,0.759,8.299,0.0,1.0,0.621,38.07,,,,,
89,Namibia,2019,4.436,9.173,0.845,56.8,0.7390000000000001,-0.174,0.879,0.672,0.256,2540916.0,2494530.0,8.068,22.0,0.0,0.625,9.349,0.0,1.0,0.311,57.535,,,,,
90,Nepal,2019,5.449,8.136000000000001,0.772,64.6,0.79,0.16699999999999998,0.7120000000000001,0.536,0.35700000000000004,29136808.0,28608710.0,6.37,25.0,0.0,0.877,8.418,0.0,1.0,0.392,32.84,,,,,
91,Netherlands,2019,7.425,10.953,0.941,72.4,0.8859999999999999,0.213,0.36,0.838,0.231,17134873.0,17332850.0,67.26,43.2,0.0,5.574,9.06,0.0,0.0,0.522,27.0,149805.0,152991.0,151547.0,171175.0,114.46799999999999
92,New Zealand,2019,7.205,10.665999999999999,0.9390000000000001,73.4,0.912,0.157,0.23399999999999999,0.816,0.191,4822233.0,4917000.0,0.518,37.9,1.0,0.379,9.266,1.0,1.0,0.527,34.1,33495.0,33053.0,34088.0,33177.0,-7.564
93,Nicaragua,2019,6.1129999999999995,8.595,0.8740000000000001,67.8,0.883,0.028999999999999998,0.622,0.835,0.337,6624554.0,6545502.0,2.491,27.3,0.0,0.86,9.527999999999999,0.0,0.0,0.28,46.515,,,,,
94,Niger,2019,5.004,7.106,0.677,54.0,0.831,0.026000000000000002,0.7290000000000001,0.816,0.304,24206636.0,23310715.0,0.43,15.1,0.0,1.126,9.29,0.0,0.0,0.484,34.28,,,,,
95,Nigeria,2019,4.356,8.544,0.7340000000000001,50.1,0.7290000000000001,0.032,0.873,0.715,0.245,206139587.0,200963599.0,0.625,18.1,0.0,1.023,9.279,0.0,0.0,0.2,44.894,,,,,
96,North Cyprus,2019,5.4670000000000005,,0.8029999999999999,,0.7929999999999999,,0.64,0.494,0.29600000000000004,,,,,0.0,,,0.0,0.0,0.305,,,,,,
97,North Macedonia,2019,5.015,9.711,0.815,65.47399999999999,0.725,0.024,0.9229999999999999,0.5760000000000001,0.304,2083380.0,2083459.0,120.141,39.1,0.0,2.875,9.022,0.0,0.0,0.105,32.4,20318.0,19727.0,20412.0,25049.0,235.03
